iter	Passed	Remaining
810	20660	4814
811	20683	4788
812	20711	4763
813	20737	4738
814	20764	4713
815	20790	4688
816	20825	4664
817	20856	4640
818	20882	4615
819	20906	4589
820	20932	4563
821	20956	4537
822	20980	4512
823	21005	4486
824	21030	4461
825	21053	4435
826	21072	4408
827	21099	4382
828	21123	4357
829	21142	4330
830	21167	4304
831	21196	4280
832	21224	4255
833	21249	4229
834	21273	4203
835	21297	4177
836	21333	4154
837	21357	4128
838	21381	4103
839	21408	4077
840	21432	4052
841	21457	4026
842	21482	4000
843	21506	3975
844	21530	3949
845	21557	3924
846	21582	3898
847	21609	3873
848	21637	3848
849	21661	3822
850	21688	3797
851	21712	3771
852	21739	3746
853	21764	3720
854	21787	3695
855	21814	3669
856	21839	3644
857	21864	3618
858	21887	3592
859	21911	3567
860	21939	3541
861	21961	3515
862	21984	3490
863	22007	3464
864	22033	3438
865	22056	3412
866	22081	3387
867	22103	3361
868	22127	3335
869	22153	3310
870	22178	3284
871	22204	3259
872	22228	3233
873	22251	3207
874	22275	3182
875	22301	3156
876	22324	3131
877	22350	3105
878	22377	3080
879	22400	3054
880	22431	3029
881	22454	3004
882	22480	2978
883	22507	2953
884	22531	2927
885	22557	2902
886	22583	2876
887	22612	2851
888	22639	2826
889	22665	2801
890	22688	2775
891	22712	2749
892	22734	2724
893	22760	2698
894	22784	2673
895	22810	2647
896	22833	2621
897	22857	2596
898	22881	2570
899	22906	2545
900	22931	2519
901	22957	2494
902	22981	2468
903	23009	2443
904	23036	2418
905	23060	2392
906	23082	2366
907	23107	2341
908	23130	2315
909	23153	2289
910	23177	2264
911	23200	2238
912	23225	2213
913	23261	2188
914	23299	2164
915	23339	2140
916	23366	2114
917	23390	2089
918	23415	2063
919	23443	2038
920	23468	2013
921	23497	1987
922	23524	1962
923	23549	1936
924	23574	1911
925	23600	1886
926	23628	1860
927	23657	1835
928	23682	1809
929	23708	1784
930	23735	1759
931	23757	1733
932	23779	1707
933	23805	1682
934	23828	1656
935	23852	1630
936	23870	1604
937	23894	1579
938	23918	1553
939	23941	1528
940	23964	1502
941	23989	1477
942	24014	1451
943	24039	1426
944	24062	1400
945	24087	1374
946	24114	1349
947	24140	1324
948	24166	1298
949	24189	1273
950	24214	1247
951	24240	1222
952	24266	1196
953	24284	1170
954	24308	1145
955	24336	1120
956	24364	1094
957	24390	1069
958	24414	1043
959	24438	1018
960	24465	992
961	24490	967
962	24517	942
963	24543	916
964	24571	891
965	24597	865
966	24624	840
967	24653	814
968	24676	789
969	24700	763
970	24725	738
971	24752	713
972	24778	687
973	24802	662
974	24828	636
975	24851	611
976	24876	585
977	24899	560
978	24923	534
979	24947	509
980	24976	483
981	25002	458
982	25028	432
983	25053	407
984	25078	381
985	25103	356
986	25128	330
987	25152	305
988	25180	280
989	25207	254
990	25236	229
991	25258	203
992	25281	178
993	25306	152
994	25332	127
995	25353	101
996	25377	76
997	25404	50
998	25429	25
999	25452	0
