,assessor_neighborhood,closed_roll_year,home_size1,rent,rent/sf
277,Ingleside Terrace,2014,2010.0,1303388.508043631,648.0
278,Ingleside Terrace,2015,2026.0,1461326.9382068245,721.0
279,Ingleside Terrace,2016,2040.0,1609233.9799888695,789.0
280,Inner Mission,2007,1200.0,656803.0314021917,547.0
281,Inner Mission,2008,1205.0,680593.7115648113,565.0
282,Inner Mission,2009,1212.0,622553.9056981482,514.0
283,Inner Mission,2010,1250.0,570161.5326713786,456.0
284,Inner Mission,2011,1250.0,573093.3191781509,458.0
285,Inner Mission,2012,1252.0,560800.4028115445,448.0
286,Inner Mission,2013,1271.0,674438.5511536914,531.0
287,Inner Mission,2014,1291.0,800928.4730448965,620.0
288,Inner Mission,2015,1333.0,959642.185223022,720.0
289,Inner Mission,2016,1341.25,1147273.4446342888,855.0
290,Inner Richmond,2007,1515.0,1053277.7082145228,695.0
291,Inner Richmond,2008,1525.0,1125388.8658136483,738.0
292,Inner Richmond,2009,1538.0,1064964.5504907945,692.0
293,Inner Richmond,2010,1540.0,951952.9098566785,618.0
294,Inner Richmond,2011,1550.0,931588.7374167484,601.0
295,Inner Richmond,2012,1550.0,903388.9878492424,583.0
296,Inner Richmond,2013,1567.5,1070859.5618275225,683.0
297,Inner Richmond,2014,1574.0,1237345.3482238315,786.0
298,Inner Richmond,2015,1575.5,1420232.6358549567,901.0
299,Inner Richmond,2016,1580.0,1670800.6888513633,1057.0
300,Inner Sunset,2007,1475.0,854048.6596163851,579.0
301,Inner Sunset,2008,1478.0,909853.2145990464,616.0
302,Inner Sunset,2009,1490.0,828652.2896815544,556.0
303,Inner Sunset,2010,1494.0,761512.9634094699,510.0
304,Inner Sunset,2011,1500.0,760071.929062631,507.0
305,Inner Sunset,2012,1500.0,739270.3209790088,493.0
306,Inner Sunset,2013,1500.0,864996.8061233899,577.0
307,Inner Sunset,2014,1506.75,989741.225264484,657.0
308,Inner Sunset,2015,1520.0,1148818.6092616804,756.0
309,Inner Sunset,2016,1525.0,1377852.3417174153,904.0
310,Jordan Park/Laurel Heights,2007,1696.0,1284303.0518215448,757.0
311,Jordan Park/Laurel Heights,2008,1722.0,1368126.4009359323,794.0
312,Jordan Park/Laurel Heights,2009,1825.0,1276146.352112822,699.0
313,Jordan Park/Laurel Heights,2010,1825.0,1196730.421769665,656.0
314,Jordan Park/Laurel Heights,2011,1845.0,1150320.7563487606,623.0
315,Jordan Park/Laurel Heights,2012,1853.0,1125310.0713230132,607.0
316,Jordan Park/Laurel Heights,2013,1905.0,1355529.7124837164,712.0
317,Jordan Park/Laurel Heights,2014,1938.0,1571363.569556611,811.0
318,Jordan Park/Laurel Heights,2015,1944.0,1814919.097799668,934.0
319,Jordan Park/Laurel Heights,2016,1947.0,2103937.672045853,1081.0
320,Lake --The Presidio,2007,1650.0,,682.6351351351351
321,Lake --The Presidio,2008,1674.5,,693.1891891891892
322,Lake --The Presidio,2009,1688.5,,631.6486486486486
323,Lake --The Presidio,2010,1690.0,,559.0131578947369
324,Lake --The Presidio,2011,1692.5,,544.9166666666666
325,Lake --The Presidio,2012,1695.0,,517.9078947368421
326,Lake --The Presidio,2013,1725.0,361773.7631643101,210.0
327,Lake --The Presidio,2014,1740.0,558412.4720232505,321.0
328,Lake --The Presidio,2015,1750.0,707782.1901715273,404.0
329,Lake --The Presidio,2016,1750.0,928674.795703379,531.0
330,Lake Shore,2007,1552.0,984497.386645324,634.0
331,Lake Shore,2008,1552.0,989631.3585190828,638.0
332,Lake Shore,2009,1555.0,929017.633066873,597.0
333,Lake Shore,2010,1563.5,889079.9697539016,569.0
334,Lake Shore,2012,1584.0,767186.1285730625,484.0
335,Lake Shore,2013,1605.0,880003.3837564219,548.0
336,Lake Shore,2014,1608.0,991610.6255269909,617.0
337,Lake Shore,2015,1613.0,1108387.3109502418,687.0
